player,age,pos,team,g,mp,ws,vorp,salary,salary_m,ws_per_m
Amen Thompson,23,PG,HOU,79,2953,10.3,3.4,9690600,9.6906,1.0628856830330424
Kevin Durant,37,SF,HOU,78,2840,10.7,4.7,54708609,54.708609,0.19558164968149708
Desmond Bane,27,SG,ORL,82,2756,7.4,2.3,36725670,36.72567,0.201493941431157
Toumani Camara,25,PF,POR,82,2731,4.8,0.7,2221677,2.221677,2.160530086056614
Jabari Smith Jr.,22,PF,HOU,77,2705,6.6,0.9,12350392,12.350392,0.5343959932607807
Mikal Bridges,29,SF,NYK,82,2692,8,3.2,24900000,24.9,0.321285140562249
Scottie Barnes,24,PF,TOR,80,2681,7.8,4.2,38661750,38.66175,0.2017497914605521
Tyrese Maxey,25,PG,PHI,70,2661,8.7,4.9,37958760,37.95876,0.22919610651138234
Jamal Murray,28,PG,DEN,75,2652,9.5,4.1,46394100,46.3941,0.20476741654650052
Derrick White,31,SG,BOS,77,2625,7,3.5,28100000,28.1,0.24911032028469748
VJ Edgecombe,20,SG,PHI,75,2623,4.4,1,11108880,11.10888,0.3960795327701803
Julius Randle,31,PF,MIN,79,2610,7.4,2.3,30864198,30.864198,0.23975999635564807
Brandon Ingram,28,SF,TOR,77,2604,4.6,1.7,38095238,38.095238,0.12075000030187498
Nickeil Alexander-Walker,27,SG,ATL,78,2603,6.3,2.1,15161800,15.1618,0.41551794641797146
Jalen Brunson,29,PG,NYK,74,2590,8.8,3.3,34944001,34.944001,0.25183149462478555
Payton Pritchard,28,PG,BOS,79,2556,8.5,2.8,7232143,7.232143,1.175308618759336
Kon Knueppel,20,SF,CHO,81,2551,8,3.1,10015680,10.01568,0.7987475638199304
Jalen Johnson,24,SF,ATL,72,2532,7.5,4,30000000,30,0.25
Dyson Daniels,22,SG,ATL,76,2520,6.6,2.1,7707709,7.707709,0.8562855707188737
Paolo Banchero,23,PF,ORL,72,2502,5,2.1,15334769,15.334769,0.3260564277166484
Donte DiVincenzo,29,SG,MIN,82,2494,5.2,1.7,11990000,11.99,0.43369474562135113
Jaylen Brown,29,SF,BOS,71,2443,6.9,3.3,53142264,53.142264,0.12984015886112796
James Harden,36,PG,2TM,70,2438,7.7,3.6,39446090,39.44609,0.19520312406121876
DeMar DeRozan,36,PF,SAC,77,2406,5.6,1.1,24570000,24.57,0.2279202279202279
Alperen Şengün,23,C,HOU,72,2398,8,3.7,33944954,33.944954,0.23567567656742147
Miles Bridges,27,PF,CHO,77,2387,6.5,1.9,25000000,25,0.26
Rudy Gobert,33,C,MIN,76,2380,8.7,1.8,35000000,35,0.24857142857142855
Ryan Rollins,23,PG,MIL,74,2376,3.4,1.3,4000000,4,0.85
Bam Adebayo,28,C,MIA,73,2365,6.4,2.4,37096620,37.09662,0.17252245622377457
Cooper Flagg,19,SF,DAL,70,2344,3.8,2,13825920,13.82592,0.2748460861917326
Donovan Mitchell,29,SG,CLE,70,2342,8.2,4.2,46394100,46.3941,0.17674661217697937
Trey Murphy III,25,SF,NOP,66,2341,6,2.6,25000000,25,0.24
Brandin Podziemski,22,SG,GSW,82,2333,5.1,1.3,3687960,3.68796,1.3828783392444604
Karl-Anthony Towns,30,C,NYK,75,2322,9.5,3.1,53142264,53.142264,0.17876543611314716
Jaden McDaniels,25,PF,MIN,73,2316,5.2,1,24393104,24.393104,0.21317500224653657
Onyeka Okongwu,25,C,ATL,74,2297,6,1.6,15000000,15,0.4
Luka Dončić,26,PG,LAL,64,2289,9.5,6.6,45999660,45.99966,0.2065232656067458
Wendell Carter Jr.,26,C,ORL,78,2288,6.2,0.8,10850000,10.85,0.5714285714285715
Collin Gillespie,26,PG,PHO,80,2282,6.2,2.6,2296274,2.296274,2.700026216383585
Bub Carrington,20,PG,WAS,82,2271,-0.4,-1.6,4677600,4.6776,-0.08551393877201985
A.J. Green,26,SG,MIL,78,2270,2.4,-0.8,2301587,2.301587,1.0427587573270096
Julian Champagnie,24,SF,SAS,82,2266,6.2,1.9,3000000,3,2.066666666666667
Nikola Jokić,30,C,DEN,65,2265,14.9,9.2,55224526,55.224526,0.26980765756142483
CJ McCollum,34,PG,2TM,76,2264,3,1,30666666,30.666666,0.09782608908317585
Shai Gilgeous-Alexander,27,PG,OKC,68,2259,15.2,7.8,38333050,38.33305,0.3965246699649519
Matas Buzelis,21,PF,CHI,77,2248,2.6,0.5,5455560,5.45556,0.47657802315435993
Saddiq Bey,26,SF,NOP,72,2246,5.4,1.4,6118644,6.118644,0.8825484862332243
Max Christie,22,SG,DAL,77,2244,2.7,0.3,7714286,7.714286,0.3499999870370375
De'Aaron Fox,28,PG,SAS,72,2231,6.4,2.4,37096620,37.09662,0.17252245622377457
Immanuel Quickley,26,PG,TOR,70,2231,6.5,2.5,32500000,32.5,0.2
Kris Dunn,31,PG,LAC,82,2230,4,0.6,5426400,5.4264,0.7371369600471768
OG Anunoby,28,PF,NYK,67,2224,6.3,2.3,39568966,39.568966,0.15921568433200906
Royce O'Neale,32,SF,PHO,78,2213,4.6,1.5,10125000,10.125,0.45432098765432094
Quentin Grimes,25,SG,PHI,75,2206,3.6,0.2,8741209,8.741209,0.41184234354767174
Deni Avdija,25,SF,POR,66,2199,7,3.5,14375000,14.375,0.48695652173913045
Naji Marshall,28,SF,DAL,74,2184,4.3,0.8,9000000,9,0.47777777777777775
Cade Cunningham,24,PG,DET,64,2172,7.9,4.6,46394100,46.3941,0.17028027270708992
Reed Sheppard,21,SG,HOU,82,2147,5.9,2.5,10603560,10.60356,0.5564169014934607
Devin Booker,29,SG,PHO,64,2146,6.5,2.3,53142264,53.142264,0.12231319313004806
Anthony Edwards,24,SG,MIN,61,2137,6.5,3.5,45550512,45.550512,0.1426987253183894
Tim Hardaway Jr.,33,SG,DEN,80,2127,4.4,0.7,2296274,2.296274,1.916147637433512
Jaime Jaquez Jr.,24,SF,MIA,75,2121,4.2,1.1,3861600,3.8616,1.0876320696084525
Duncan Robinson,31,SG,DET,77,2113,6.1,1.5,16834692,16.834692,0.36234699155767147
Jeremiah Fears,19,PG,NOP,82,2112,0.6,-0.4,7520040,7.52004,0.07978680964462954
Donovan Clingan,21,C,POR,77,2094,8.6,2.6,7178400,7.1784,1.198038560124819
Kawhi Leonard,34,SF,LAC,65,2085,9.2,5.3,50000000,50,0.184
Evan Mobley,24,PF,CLE,65,2074,6.5,2.6,46394100,46.3941,0.14010402184760562
Andrew Wiggins,30,SF,MIA,68,2063,4.6,1.7,28223215,28.223215,0.1629863925849695
Jake LaRavia,24,PF,LAL,82,2061,3.8,0.4,6000000,6,0.6333333333333333
Pascal Siakam,31,PF,IND,62,2057,2.6,1.4,45550512,45.550512,0.05707949012735576
Cason Wallace,22,SG,OKC,77,2046,5.2,1.7,5820240,5.82024,0.8934339477409866
Devin Vassell,25,SG,SAS,67,2044,4.9,1.3,27000000,27,0.1814814814814815
Stephon Castle,21,PG,SAS,68,2038,5.8,2,9560520,9.56052,0.6066615623417972
Derik Queen,21,C,NOP,81,2023,2.7,0.6,5157960,5.15796,0.523462764348696
LaMelo Ball,24,PG,CHO,72,2017,6.2,3.4,37958760,37.95876,0.1633351563644334
Naz Reid,26,C,MIN,77,2007,4,1.5,21551724,21.551724,0.18560000118784
Davion Mitchell,27,PG,MIA,70,2000,4.3,0.6,11600000,11.6,0.3706896551724138
Bruce Brown,29,SG,DEN,82,1998,2.9,-0.2,2296274,2.296274,1.262915488308451
Chet Holmgren,23,PF,OKC,69,1997,9.1,3.1,13731368,13.731368,0.6627161984151907
Josh Hart,30,SF,NYK,66,1994,6.1,2.5,19472240,19.47224,0.3132664757624187
LeBron James,41,SF,LAL,60,1989,5.4,2.8,52627153,52.627153,0.10260862866741054
Ace Bailey,19,SF,UTA,72,1988,-0.1,-1.2,9069840,9.06984,-0.011025552821218457
Harrison Barnes,33,PF,SAS,77,1986,4.8,1,19000000,19,0.25263157894736843
Jalen Duren,22,C,DET,70,1976,11,3.5,6483144,6.483144,1.696707646783721
Brandon Miller,23,SF,CHO,65,1968,4.5,1.8,11968800,11.9688,0.37597754160818125
Maxime Raynaud,22,C,SAC,74,1964,3.6,-0.2,1272870,1.27287,2.8282542600579794
Deandre Ayton,27,C,LAL,72,1958,6.2,0.6,25550814,25.550814,0.2426537174118993
Jarace Walker,22,PF,IND,76,1953,0.5,-0.2,6665520,6.66552,0.0750129022191817
Sam Hauser,28,PF,BOS,78,1934,5,1.3,10044644,10.044644,0.49777772114173485
Rui Hachimura,27,PF,LAL,68,1927,3.2,-0.1,18259259,18.259259,0.17525355218412753
Neemias Queta,26,C,BOS,76,1926,9,2.4,2349578,2.349578,3.8304750895692754
Nic Claxton,26,C,BRK,69,1920,4.8,1.4,25352272,25.352272,0.18933214348599606
Myles Turner,29,C,MIL,71,1912,3,0.5,25318251,25.318251,0.1184915972276284
Keldon Johnson,26,SF,SAS,82,1911,6.4,1.4,17500000,17.5,0.3657142857142857
Anthony Black,22,PG,ORL,64,1910,2.6,0.7,7970280,7.97028,0.32621187712351385
Tristan Da Silva,24,SF,ORL,77,1899,3.3,0.7,3809520,3.80952,0.8662508662508662
Moussa Diabaté,24,C,CHO,73,1899,7.4,1.8,2270735,2.270735,3.258856713795313
Ausar Thompson,23,SF,DET,73,1896,5.7,2.4,8775000,8.775,0.6495726495726496
Nique Clifford,23,SG,SAC,75,1882,-0.6,-1.4,3108120,3.10812,-0.19304273966256127
Ayo Dosunmu,26,SG,2TM,69,1881,4.9,1.4,7518518,7.518518,0.6517241828775299
