player,team,age,vorp,ws,salary_m,market_value_m,surplus_m,bargain
Victor Wembanyama,SAS,22,6,10,13.38,59.61,46.23,TRUE
Jalen Duren,DET,22,3.5,11,6.48,36,29.51,TRUE
Amen Thompson,HOU,23,3.4,10.3,9.69,34.86,25.17,FALSE
Collin Gillespie,PHO,26,2.6,6.2,2.3,27,24.7,TRUE
Neemias Queta,BOS,26,2.4,9,2.35,25.32,22.97,TRUE
Kon Knueppel,CHO,20,3.1,8,10.02,31.68,21.66,FALSE
Deni Avdija,POR,25,3.5,7,14.38,36,21.62,FALSE
Payton Pritchard,BOS,28,2.8,8.5,7.23,28.78,21.55,FALSE
Shai Gilgeous-Alexander,OKC,27,7.8,15.2,38.33,59.61,21.27,FALSE
Sandro Mamukelashvili,TOR,26,2.1,6.2,2.46,23.01,20.55,TRUE
Donovan Clingan,POR,21,2.6,8.6,7.18,27,19.82,FALSE
Moussa Diabaté,CHO,24,1.8,7.4,2.27,20.9,18.63,TRUE
Julian Champagnie,SAS,24,1.9,6.2,3,21.58,18.58,TRUE
Tyrese Maxey,PHI,25,4.9,8.7,37.96,56.33,18.37,FALSE
Cam Spencer,MEM,25,1.8,5.3,2.54,20.9,18.36,TRUE
