player,team,age,vorp,ws,salary_m,market_value_m,surplus_m,bargain
Zach LaVine,SAC,30,0.2,1.3,47.5,12.53,-34.97,FALSE
Paul George,PHI,35,1.1,2.5,51.67,16.71,-34.96,FALSE
Stephen Curry,GSW,37,2.5,4.1,59.61,26.15,-33.46,FALSE
Joel Embiid,PHI,31,2.1,4.1,55.22,23.01,-32.22,FALSE
Jimmy Butler,GSW,36,2.3,5.7,54.13,24.53,-29.6,FALSE
Devin Booker,PHO,29,2.3,6.5,53.14,24.53,-28.62,FALSE
Pascal Siakam,IND,31,1.4,2.6,45.55,18.39,-27.16,FALSE
Lauri Markkanen,UTA,28,1.6,3.5,46.39,19.61,-26.79,FALSE
Darius Garland,2TM,26,0.6,2.6,39.45,14.24,-25.21,FALSE
Khris Middleton,2TM,34,-0.9,0.3,33.3,8.82,-24.48,FALSE
LeBron James,LAL,41,2.8,5.4,52.63,28.78,-23.85,FALSE
Giannis Antetokounmpo,MIL,31,3,5,54.13,30.68,-23.45,FALSE
Karl-Anthony Towns,NYK,30,3.1,9.5,53.14,31.68,-21.47,FALSE
Franz Wagner,ORL,24,1.2,2.8,38.66,17.25,-21.41,FALSE
Jaren Jackson Jr.,2TM,26,0.5,1.4,35,13.79,-21.21,FALSE
